電影ID,電影中文名,英譯,上映日期,片長,發行公司,IMDb分數,導演,演員,電影類型,分級
4180,特種部隊2：正面對決,G.I. Joe 2: Retaliation,上映日期：2013-03-27,片　　長：01時50分,發行公司：派拉蒙,IMDb分數：5.8,['朱浩偉(Jon Chu)'],"['布魯斯威利(Bruce Willis)', '李秉憲(Byung-Hun Lee)', '查寧塔圖(Channing Tatum)', '艾洛蒂袁(Elodie Yung)', '巨石強森(Dwayne Johnson)', '雷派克', 'D.J.科特羅納']","['動作', '犯罪']",保護級/P
4181,歌劇 杜蘭朵公主,TURANDOT,上映日期：2012-02-11,片　　長：02時05分,發行公司：威視,沒有評分,['陳凱歌'],[''],['音樂/歌舞'],普遍級/G
4182,第三個願望,,上映日期：2012-03-23,片　　長：01時37分,發行公司：好孩子,沒有評分,['黃銘正'],"['曾愷玹', '納豆(Lin Yu-Chih)', '吳慷仁', '卓勝利']",['劇情'],普遍級/G
4183,鬼妻,Mae Nak 3D,上映日期：2012-05-18,片　　長：01時43分,發行公司：海樂,沒有評分,['Pichai Noirod(Pichai Noirod)'],"['潘克丹娜伊(Bongot Kongmalai)', '村彭納狄克(Chumporn Theppitak)', '朗斯伊洛(Rungsiroj)']","['恐怖', '懸疑/驚悚']",輔12級/PG12
4184,陪睡美人,Sleeping Beauty,上映日期：2012-03-02,片　　長：01時41分,發行公司：天馬行空,沒有評分,['茱莉亞李(Julia Leigh)'],"['艾蜜莉布朗寧(Emily Browning)', '瑞秋布雷克(Rachael Blake)']","['劇情', '懸疑/驚悚']",限制級/R
4185,追愛,Great Wall My Love,上映日期：2012-03-09,片　　長：01時39分,發行公司：縱橫國際,IMDb分數：6.7,['劉怡明'],"['佟大為', '應采兒']",['劇情'],普遍級/G
4186,三驚半月影展,23:59 Horror,上映日期：2012-03-16,片　　長：未提供,發行公司：華映,沒有評分,"['蔡於位', '陳啟全', '游達志']","['廖語晴(Linda)', '曾國琿', '陳來翔', '陳勢安', '戴陽天', '關棟瑉', '賴力豪', '李國煌', '林德榮', '林宇中', '蘇智誠', '溫嵐', '許亮宇', '許淩福', '朱咪咪']","['恐怖', '懸疑/驚悚']",未分類
4187,蕭邦鋼琴協奏曲,THE CHOPIN PIANO CONCERTOS,上映日期：2012-02-18,片　　長：01時50分,發行公司：威視,沒有評分,[''],[''],['音樂/歌舞'],普遍級/G
4188,性愛成癮的男人,SHAME,上映日期：2012-03-16,片　　長：01時41分,發行公司：原子映象,IMDb分數：7.2,['史提夫麥昆(Steve McQueen)'],"['凱莉墨里根(Carey Mulligan)', '麥可法斯賓達(Michael Fassbender)']",['劇情'],限制級/R
4189,蘋果核戰XIII劇場版～遺言X預言 ～,Appleseed XIII  MOVIE2: OURANOS  Appleseed XIII  MOVIE2: TARTAROS,上映日期：2012-02-24,片　　長：02時50分,發行公司：曼迪傳播,沒有評分,['浜名孝行'],['山寺宏一(Kôichi Yamadera)'],['動畫'],保護級/P
4190,飢餓遊戲,The Hunger Games,上映日期：2012-03-23,片　　長：02時23分,發行公司：威望國際,沒有評分,['蓋瑞羅斯(Gary Ross)'],"['伊莉莎白班克斯(Elizabeth Banks)', '珍妮佛勞倫斯(Jennifer Lawrence)', '喬許哈契遜(Josh Hutcherson)', '連恩漢斯沃(Liam Hemsworth)', '史丹利圖奇(Stanley Tucci)', '伍迪哈里遜(Woody Harrelson)']","['動作', '冒險', '劇情', '懸疑/驚悚', '愛情']",保護級/P
4191,戰國 BASARA 劇場版－The Last Party－,Sengoku BASARA – Samurai Kings The Movie,上映日期：2012-03-02,片　　長：01時24分,發行公司：曼迪傳播,沒有評分,['野村和也'],"['保志總一朗', '大川透', '關智一']",['動畫'],保護級/P
4192,艾瑪好色,"Turn Me On, Goddammit",上映日期：2012-03-23,片　　長：01時16分,發行公司：天馬行空,IMDb分數：6.4,['雅妮克賈考森(Jannicke Systad Jacobsen)'],['海倫貝格瓊(Helene Bergsholm)'],['劇情'],限制級/R
4193,致命救援,GONE,上映日期：2012-03-16,片　　長：01時35分,發行公司：龍祥,沒有評分,['海特達利亞'],"['阿曼達塞佛瑞(Amanda Seyfried)', '塞巴斯欽史丹', '韋斯班特利']",['懸疑/驚悚'],輔12級/PG12
4194,歌劇 羅密歐與茱麗葉,ROMEO AND JULIETTE,上映日期：2012-02-25,片　　長：02時46分,發行公司：威視,沒有評分,['Bartlett Sher(Bartlett Sher)'],"['Nino Machaidze(Nino Machaidze)', 'Rolando Villazón']",['音樂/歌舞'],普遍級/G
4195,神鬼認證4,The Bourne Legacy,上映日期：2012-08-09,片　　長：02時15分,發行公司：環球,IMDb分數：6.7,['湯尼吉洛伊'],"['亞伯芬尼(Albert Finney)', '艾德華諾頓(Edward Norton)', '傑瑞米雷納(Jeremy Renner)', '瓊艾倫(Joan Allen)', '瑞秋懷茲(Rachel Weisz)']","['動作', '劇情', '懸疑/驚悚']",輔12級/PG12
4196,孩子不壞,We Not Naughty,上映日期：2012-04-13,片　　長：02時17分,發行公司：華映娛樂股份有限公司,沒有評分,['梁智強'],"['陳曉東', '黎沸揮', '巫啟賢', '夏如芝']",['劇情'],保護級/P
4197,卡拉揚誕生一百週年紀念音樂會,KARAJAN MEMORIAL CONCERT on his 100th Birthday,上映日期：2012-02-27,片　　長：01時52分,發行公司：威視,沒有評分,[''],[''],['音樂/歌舞'],普遍級/G
4198,魔鏡，魔鏡,Mirror Mirror,上映日期：2012-04-04,片　　長：01時46分,發行公司：威望國際,IMDb分數：5.6,['塔森辛(Tarsem Singh)'],"['艾米漢默(Armie Hammer)', '茱莉亞羅勃茲(Julia Roberts)', '莉莉柯林斯(Lily Collins)', '奈森連恩(Nathan Lane)', '西恩賓 (Sean Bean)']","['奇幻', '喜劇']",普遍級/G
4199,溫心港灣,Le Havre,上映日期：2012-03-16,片　　長：01時34分,發行公司：海鵬,IMDb分數：7.2,['阿基‧郭利馬斯基(Aki Kaurismäki)'],"['安德烈威姆斯(André Wilms)', '尚皮耶達胡桑(Jean-Pierre Darroussin)', '凱蒂奧提南(Kati Outinen)']","['劇情', '溫馨/家庭']",普遍級/G
4200,彼時生命,Life Back Then,上映日期：2012-03-23,片　　長：02時11分,發行公司：采昌國際多媒體,沒有評分,['瀨瀨敬久'],"['榮倉奈奈(Nana Eikura)', '岡田將生(Masaki Okada)', '松坂桃李(Tori Matsuzaka)', '原田泰造']",['劇情'],保護級/P
4201,幸運符,THE LUCKY ONE,上映日期：2012-04-20,片　　長：01時41分,發行公司：華納兄弟,IMDb分數：6.5,['史考特希克(Scott Hicks)'],"['布萊絲丹娜(Blythe Danner)', '柴克艾弗隆(Zac Efron)', '泰勒西林']",['愛情'],保護級/P
4202,八星抱喜,"All’s Well, Ends Well 2012",上映日期：2012-03-23,片　　長：01時59分,發行公司：華映,沒有評分,"['陳慶嘉', '秦小珍']","['曾華倩', '陳慧琳', '杜汶澤(Chapman To)', '古天樂(Louis Koo)', '谷德昭', '黃百鳴', '黃玉郎', '林雪', '劉子千', '容祖兒', '吳君如', '吳千語', '熊黛林', '楊冪', '應采兒', '張繼聰(Louis Cheung)', '甄子丹(Donnie Yen)', '鄭中基']","['劇情', '喜劇', '愛情']",普遍級/G
4203,2012金馬奇幻影展,,上映日期：2012-04-06,片　　長：未提供,發行公司：,沒有評分,[''],[''],[],未分類
4204,驚艷布魯哲爾,The Mill and the Cross,上映日期：2012-03-23,片　　長：01時33分,發行公司：佳映,沒有評分,['利亞馬耶斯基(Lech Majewski)'],"['夏綠蒂蘭普琳(Charlotte Rampling)', '麥可約克(Michael York)', '魯格豪爾(Rutger Hauer)']",['劇情'],輔12級/PG12
4205,愛‧重來,The Vow,上映日期：2012-05-11,片　　長：01時44分,發行公司：索尼影業,IMDb分數：6.8,['麥可蘇克西(Michael Sucsy)'],"['查寧塔圖(Channing Tatum)', '瑞秋麥亞當斯(Rachel McAdams)']","['劇情', '愛情']",保護級/P
4206,音樂會 馬勒的《C小調第二號交響曲「復活」》,MAHLER SYM NO.2 IN C MINOR “RESURRECTION”,上映日期：2012-03-03,片　　長：01時31分,發行公司：威視,沒有評分,[''],[''],['音樂/歌舞'],普遍級/G
4207,溫莎公爵的情人,W.E.,上映日期：2012-03-09,片　　長：未提供,發行公司：威望國際,沒有評分,['瑪丹娜(Madonna)'],"['艾比柯妮許(Abbie Cornish)', '安德麗亞瑞斯波羅格(Andrea Riseborough)', ""詹姆斯達西(James D'Arcy)""]","['劇情', '愛情']",未分類
4208,愛樂時光,WUNDERKINDER,上映日期：2012-03-23,片　　長：01時41分,發行公司：聯影／聯贏,沒有評分,['羅森穆勒(Marcus. O. Rosenmuller)'],"['伊林科烈夫(Elin Kolev)', '依莫珍布爾(Imogen Burrell)', '凱文辛格(Kai Wiesinger ll)', '瑪蒂妲阿密克(Mathilda Adamik)']",['劇情'],保護級/P
4210,文生去看海,Vincent Wants To Sea,上映日期：2012-03-30,片　　長：01時35分,發行公司：海鵬,IMDb分數：7.1,['萊夫休特納(Ralf Huettner)'],"['佛洛里昂大衛費茲(Florian David Fitz)', '約翰尼斯艾曼亞(Johannes Allmayer)', '卡洛琳荷芙絲(Karoline Herfurth)']",['劇情'],保護級/P
4211,逆轉人生,Intouchables,上映日期：2012-03-30,片　　長：01時52分,發行公司：傳影互動,IMDb分數：8.6,"['艾力克多倫達諾(Eric Toledano)', '奧力佛那卡契(Olivier Nakache)']","['佛朗索瓦克魯塞(François Cluzet)', '歐馬希(Omar Sy)']","['劇情', '喜劇']",保護級/P
4212,奇蹟,I WISH,上映日期：2012-04-13,片　　長：未提供,發行公司：原子映象,IMDb分數：7.4,['是枝裕和(Hirokazu Koreeda)'],"['長澤雅美(Masami Nagasawa)', '阿部寬(Hiroshi Abe)', '小田切讓(Jo Odagiri)', '樹木希林(Kirin Kiki)', '夏川结衣(Yui Natsukawa)', '大塚寧寧', '前田航基', '前田旺志郎', '原田芳雄']","['劇情', '溫馨/家庭']",普遍級/G
4213,普羅米修斯,PROMETHEUS,上映日期：2012-06-06,片　　長：02時04分,發行公司：福斯,IMDb分數：7.0,['雷利史考特(Ridley Scott)'],"['莎莉賽隆(Charlize Theron)', '麥可法斯賓達(Michael Fassbender)', '歐蜜瑞佩斯(Noomi Rapace)']","['動作', '冒險', '科幻']",輔12級/PG12
4214,冰原歷險記4：板塊漂移,Ice Age 4 :Continental Drift,上映日期：2012-07-13,片　　長：01時33分,發行公司：福斯,IMDb分數：6.6,['卡洛斯沙丹哈'],[''],['動畫'],普遍級/G
4215,歌劇《阿依達》,AIDA,上映日期：2012-03-10,片　　長：02時11分,發行公司：威視,沒有評分,['Graham Vick(Graham Vick)'],['Tatiana Serjan(Tatiana Serjan)'],['音樂/歌舞'],普遍級/G
4216,就是溜溜的她,Lovable You,上映日期：2012-03-09,片　　長：未提供,發行公司：巨星影業有限公司,沒有評分,['侯孝賢(Hou Hsiao-Hsien)'],"['陳友(Antony Chan)', '鳳飛飛', '黃仲崑', '梅芳', '石英', '顏正國', '鍾鎮濤']","['劇情', '愛情']",未分類
4217,裸色告白,Elles,上映日期：2012-04-03,片　　長：01時35分,發行公司：佳映,IMDb分數：5.7,['瑪寇札塔‧叔莫斯卡（Malgorzata Szumowska）'],"['安娜伊德穆斯提(Anaïs Demoustier)', '尤安娜庫立克(Joanna Kulig)', '茱麗葉畢諾許(Juliette Binoche)']",['劇情'],限制級/R
4218,天外飛來一隻豬,When Pigs Have Wings,上映日期：2012-04-13,片　　長：未提供,發行公司：威視電影發行,IMDb分數：7.1,['希爾維艾斯提巴'],['賽森加拜'],['喜劇'],未分類
4219,音樂會  卡拉揚指揮《貝多芬第七、第九號交響曲》,BEETHOVEN SYMPHONY NR. 7 & 9,上映日期：2012-03-17,片　　長：01時40分,發行公司：威視,沒有評分,[''],[''],['音樂/歌舞'],普遍級/G
4220,全面突襲,THE RAID：REDEMPTION,上映日期：2012-04-20,片　　長：01時41分,發行公司：傳影互動 ifilm,沒有評分,['蓋瑞斯艾文斯(Gareth Evans)'],['伊科烏艾斯(Iko Uwais)'],"['動作', '劇情', '犯罪']",限制級/R
4221,荷索之3D秘境夢遊,Cave of Forgotten Dreams,上映日期：2012-04-03,片　　長：01時30分,發行公司：天馬行空,沒有評分,['韋納荷索(Werner Herzog)'],['韋納荷索(Werner Herzog)'],['紀錄片'],普遍級/G
4222,棄城Z-108,Zombie108,上映日期：2012-04-13,片　　長：01時28分,發行公司：黑象國際影視有限公司,沒有評分,['錢人豪(Joe Chien)'],"['杜宇航', '高捷(Jack Kao)', '林佳陵', '戎祥', '太保(Tai-Bo)', '姚采穎', '朱木炎']",['懸疑/驚悚'],限制級/R
4223,神偷奶爸2,Despicable Me 2,上映日期：2013-07-03,片　　長：01時38分,發行公司：環球影業,IMDb分數：7.4,"['克里斯雷納德', '皮埃爾科芬']","['班傑明布萊特(Benjamin Bratt)', '克莉絲汀薇格(Kristen Wiig)', '羅素布蘭登', '歐陽三姊妹(妮妮/娜娜/娣娣)', '王彩樺']","['喜劇', '動畫']",普遍級/G
4224,愛無限影展,Romantic and Heartwarming Film Festival 2012,上映日期：2012-04-06,片　　長：未提供,發行公司：威望國際,沒有評分,[''],[''],"['劇情', '愛情', '溫馨/家庭']",未分類
4225,紅蘋果的慾望,"Bi, Don’t be Afraid",上映日期：2012-05-04,片　　長：01時31分,發行公司：飛行國際,IMDb分數：6.6,['潘黨迪'],[''],['劇情'],限制級/R
4226,勇敢傳說,BRAVE,上映日期：2012-06-22,片　　長：未提供,發行公司：博偉,IMDb分數：7.2,"['布蘭妲查普曼(Brenda Chapman)', '馬克安德魯(Mark Andrews)']","['艾瑪湯普遜(Emma Thompson)', '凱莉麥當諾(Kelly Macdonald)']",['動畫'],未分類
4227,2012新北市電影藝術節─世界之花,,上映日期：2012-04-27,片　　長：未提供,發行公司：新北市政府,沒有評分,[''],[''],[],未分類
4228,泡菜拳霸,The Kick,上映日期：2012-04-20,片　　長：01時34分,發行公司：龍祥,IMDb分數：5.8,['巴猜平橋(Prachya Pinkaew)'],"['琴嘉(Jija Yanin)', '畢查泰汪漢羅(Petchthai Wongkamlao)', '藝智苑', '趙在炫']","['動作', '冒險', '喜劇']",輔12級/PG12
4229,來自天國的喝采,Cheers from Heaven,上映日期：2012-04-27,片　　長：01時54分,發行公司：天馬行空,IMDb分數：7.1,['熊澤誓人(Makoto Kumazawa)'],"['阿部寬(Hiroshi Abe)', 'Mimula(Mimula)', '櫻庭奈奈美(Nanami Sakuraba)']","['劇情', '音樂/歌舞']",普遍級/G
4230,尖叫旅社,Hotel Transylvania,上映日期：2013-02-08,片　　長：01時32分,發行公司：博偉,IMDb分數：7.1,['吉爾庫爾頓(Jill Culton)'],['席琳娜戈梅茲'],"['喜劇', '動畫']",普遍級/G
4231,再見初戀,Goodbye First Love,上映日期：2012-04-20,片　　長：01時50分,發行公司：聯影／聯贏,IMDb分數：6.6,['米雅韓桑露芙(Mia Hansen-Løve)'],"['蘿拉柯彤(Lola Creton)', '孟納哈佛貝肯(Magne- Håvard Brekke)', '賽巴斯汀烏曾道斯基(Sebastian Urzendowsky)']","['劇情', '愛情']",輔12級/PG12
4232,黑影家族,DARK SHADOWS,上映日期：2012-05-11,片　　長：01時53分,發行公司：華納兄弟,IMDb分數：6.2,['提姆波頓(Tim Burton)'],"['伊娃葛林(Eva Green)', '海倫娜波漢卡特(Helena Bonham Carter)', '強尼戴普(Johnny Depp)', '蜜雪兒菲佛(Michelle Pfeiffer)']",['劇情'],保護級/P
4233,2012城市遊牧影展,Urban Nomad Film Festival,上映日期：2012-04-12,片　　長：未提供,發行公司：,沒有評分,[''],[''],[],未分類
4234,3D 食人魚2：全面獵殺,piranha 3DD,上映日期：2012-06-01,片　　長：01時16分,發行公司：甲上,IMDb分數：3.8,['約翰古拉傑(John Gulager)'],"['文雷姆斯(Ving Rhames)', '卡特莉娜寶登']",['懸疑/驚悚'],限制級/R
4235,麒麟之翼：新參者劇場版,The Wings of the Kirin,上映日期：2012-04-20,片　　長：02時09分,發行公司：采昌國際多媒體,IMDb分數：6.7,['土井裕泰'],"['阿部寬(Hiroshi Abe)', '溝端淳平', '新垣結衣(Yui Aragaki)']","['劇情', '犯罪', '懸疑/驚悚']",輔12級/PG12
4236,義大利經典大師影展-安東尼奧尼,MICHELANGELO ANTONIONI,上映日期：2012-04-24,片　　長：未提供,發行公司：前景,沒有評分,['安東尼奧尼(Michelangelo Antonioni)'],[''],[],未分類
4237,吸血鬼獵人：林肯總統,Abraham Lincoln: Vampire Hunter,上映日期：2012-07-03,片　　長：01時45分,發行公司：福斯,IMDb分數：5.9,['提默貝克曼比托夫(Timur Bekmambetov)'],"['班傑明沃克(Benjamin Walker)', '多明尼克庫柏(Dominic Cooper)', '瑪麗伊莉莎白文斯蒂德(Mary Elizabeth Winstead)']",['懸疑/驚悚'],輔12級/PG12
4238,金盞花大酒店,The Best ExoticMarigold Hotel,上映日期：2012-05-18,片　　長：02時04分,發行公司：福斯,IMDb分數：7.3,['約翰馬登'],"['比爾奈伊(Bill Nighy)', '戴夫帕托(Dev Patel)', '茱蒂丹契(Judi Dench)', '瑪姬史密斯(Maggie Smith)', '湯姆衛金森(Tom Wilkinson)']","['劇情', '愛情']",普遍級/G
4239,第34屆金穗獎,,上映日期：2012-03-23,片　　長：未提供,發行公司：,沒有評分,[''],[''],[],未分類
4240,冷光線索,The Cold Light of Day,上映日期：2012-06-01,片　　長：01時33分,發行公司：威望國際,IMDb分數：4.9,['馬布克艾爾馬格利(Mabrouk El Mechri)'],"['布魯斯威利(Bruce Willis)', '亨利卡維爾(Henry Cavill)', '雪歌妮薇佛(Sigourney Weaver)']","['劇情', '懸疑/驚悚']",輔12級/PG12
4241,天外封鎖線,Lockout,上映日期：2012-05-18,片　　長：01時35分,發行公司：威望國際,IMDb分數：6.1,"['詹姆斯馬瑟(James Mather )', '史蒂芬聖萊傑(Stephen St. Leger )']","['蓋皮爾斯(Guy Pearce)', '雷尼詹姆斯(Lennie James)', '彼特史托梅爾(Peter Stormare)']","['動作', '冒險', '科幻', '懸疑/驚悚']",輔12級/PG12
4242,火線反擊,Safe,上映日期：2012-05-11,片　　長：01時34分,發行公司：威望國際,IMDb分數：6.5,['鮑茲亞金(Boaz Yakin)'],"['克里斯沙蘭登(Chris Sarandon)', '傑森史塔森(Jason Statham)', '珍妮佛巴特勒(Jennifer Butler)', '勞勃約翰柏克(Robert John Burke)']","['動作', '劇情', '犯罪']",輔12級/PG12
4243,浴血任務2,The Expendables 2,上映日期：2012-08-17,片　　長：01時43分,發行公司：威望國際,IMDb分數：6.6,['《極速秒殺》賽門衛斯特(Simon West)'],"['阿諾史瓦辛格(Arnold Schwarzenegger)', '布魯斯威利(Bruce Willis)', '羅禮士(Chuck Norris)', '杜夫朗格(Dolph Lundgren)', '傑森史塔森(Jason Statham)', '尚克勞范達美(Jean-Claude Van Damme)', '李連杰(Jet Li)', '連恩漢斯沃(Liam Hemsworth)', '蘭迪寇楚(Randy Couture)', '史考特艾金斯(Scott Adkins)', '席維斯史特龍(Sylvester Stallone)', '泰瑞克魯(Terry Crews)']","['動作', '冒險', '懸疑/驚悚']",輔12級/PG12
4244,貧民英雄,Common Heroes,上映日期：2012-05-18,片　　長：01時38分,發行公司：黑色餅乾國際娛樂股份有限公司,沒有評分,['鄭東樹'],"['陳德秀', '從從', '黃志瑋', '李冠儀', '劉畊宏', '羅時豐', '民雄', '潘慧如', '王彩樺', '王婉菲', '翁立友', '午馬', '徐乃麟', '楊烈', '張洛君', '張心妍']","['劇情', '喜劇']",普遍級/G
4245,偷歡,THAT SUMMER,上映日期：2012-04-13,片　　長：未提供,發行公司：海鵬,IMDb分數：5.0,['菲利普卡瑞(Philippe Garrel)'],"['席琳薩萊特(Celine Sallette)', '傑若米荷巴(Jérôme Robart)', '路易卡瑞(Louis Garrel)', '莫妮卡貝露琪(Monica Bellucci)']",['劇情'],未分類
4246,不倒翁的奇幻旅程,Jumping Boys,上映日期：2012-04-27,片　　長：01時35分,發行公司：牽猴子整合行銷股份有限公司,沒有評分,['林福清'],"['曾珮瑜(Peggy Tseng)', '金士傑', '賴雅妍', '吳朋奉']","['劇情', '喜劇', '溫馨/家庭']",普遍級/G
4247,史丹利的便當盒,Stanley’s Tiffin Box,上映日期：2012-05-04,片　　長：01時36分,發行公司：傳影互動 ifilm,IMDb分數：7.9,['阿莫爾古普特(Amole  Gupte)'],"['迪維亞杜塔(Divya Dutta)', '努曼謝克(Numaan Sheikh)', '帕索古普特(Partho Gupte)']","['劇情', '喜劇', '溫馨/家庭']",普遍級/G
4248,枕邊故事,Les contes de la nuit,上映日期：2012-05-11,片　　長：01時24分,發行公司：山水國際,IMDb分數：6.9,['米休歐斯洛(Michel Ocelot)'],[''],"['奇幻', '動畫']",普遍級/G
4249,吐崽子,Les Géants,上映日期：2012-04-27,片　　長：01時24分,發行公司：佳映娛樂,IMDb分數：6.7,['卜力藍內(Bouli Lanners)'],"['馬藤尼松(Martin Nissen)', '伯爾巴帖勒(Paul Bartel)', '札夏利夏修魯(Zacharie Chasseriaud)']",['劇情'],輔12級/PG12
4250,記得愛,Forget Me Not,上映日期：2012-05-25,片　　長：未提供,發行公司：威視電影,IMDb分數：6.6,"['藍斯羅瑞格', '亞歷山德霍特']","['吉娜薇亞歐萊莉', '托比亞曼齊司']","['劇情', '愛情']",未分類
4251,哆啦A夢：大雄與奇跡之島,Doraemon the Movie: Nobita and the Island of Miracle,上映日期：2012-06-29,片　　長：01時40分,發行公司：采昌國際多媒體∕蜜蜂工房,沒有評分,['楠葉宏三'],"['田中敦子(Atsuko Tanaka)', '山寺宏一(Kôichi Yamadera)', '大原惠', '關智一', '嘉數由美', '鈴木福', '木村昂', '千秋', '水樹奈奈', '小栗旬(Shun Oguri)']",['動畫'],普遍級/G
4252,3D舞力對決2,Street Dance 2,上映日期：2012-06-22,片　　長：01時25分,發行公司：甲上,IMDb分數：5.7,[''],"['FLAWLESS(FLAWLESS)', '喬治桑普森(George Sampson)', '福克漢斯契', '蘇菲亞波提拉(Sofia Boutella)']",['音樂/歌舞'],普遍級/G
4253,今晚誰當家,Carnage,上映日期：2012-05-25,片　　長：未提供,發行公司：山水國際,IMDb分數：7.2,['羅曼波蘭斯基(Roman Polanski)'],"['克里斯多夫沃茲(Christoph Waltz)', '茱蒂福斯特(Jodie Foster)', '約翰萊利(John C. Reilly)', '凱特溫絲蕾(Kate Winslet)']",['喜劇'],未分類
4254,愛情有沒友,EX: Still Friends！,上映日期：2012-04-27,片　　長：01時40分,發行公司：海鵬,IMDb分數：5.4,['卡羅瓦奇拿(Carlo Vanzina)'],"['亞歷山卓葛斯曼(Alessandro Gassman)', '安娜佛格麗塔(Anna Foglietta)', '泰瑞莎瑪妮諾(Teresa Mannino)', '文生塞洛米(Vincenzo Salemme)']","['喜劇', '愛情']",保護級/P
4255,烽火樂園,Paper Birds,上映日期：2012-05-11,片　　長：01時50分,發行公司：飛行國際,IMDb分數：7.0,['艾米洛阿拉貢(Emilio Aragón)'],"['路易斯赫馬(Lluís Homar)', '羅傑普林賽普(Roger Princep)', '伊曼諾爾艾瑞亞斯']",['劇情'],保護級/P
4256,捍衛聯盟,The Rise of the Guardians,上映日期：2012-11-30,片　　長：01時47分,發行公司：環球影業,IMDb分數：7.3,[''],"['亞歷鮑德溫(Alec Baldwin)', '克里斯潘恩(Chris Pine)', '休傑克曼(Hugh Jackman)', '艾絲拉費雪(Isla Fisher)', '裘德洛(Jude Law)']",['動畫'],普遍級/G
4257,台北飄雪,Snowfall in Taipei,上映日期：2012-04-27,片　　長：01時43分,發行公司：山水國際,IMDb分數：5.3,['霍建起'],"['陳柏霖(Bo-Lin Chen)', '紀培慧(Teresa Daley)', '楊祐寧(Tony Yang)', '蔡淑臻', '莫子儀', '童瑤']","['劇情', '愛情']",普遍級/G
4258,女朋友。男朋友,GF。BF,上映日期：2012-08-03,片　　長：01時45分,發行公司：原子映象、中影國際 聯合發行,沒有評分,['楊雅喆(YANG Ya-Che)'],"['張孝全(Joseph Chang)', '鳳小岳', '桂綸鎂(Kwai Lun-mei)']","['劇情', '愛情']",輔12級/PG12
4259,白天的星星,Love is sin,上映日期：2012-05-11,片　　長：01時37分,發行公司：獨角先傳媒股份有限公司,沒有評分,['黃朝亮'],"['陳慕義', '紀亞文', '林美秀', '韋杰', '黃瀞怡(小薫)']",['劇情'],普遍級/G
4260,親愛的別哭,DECLARATION OF WAR,上映日期：2012-04-27,片　　長：01時40分,發行公司：前景,IMDb分數：7.0,['華蕾莉董澤利(Valérie Donzelli)'],"['傑瑞米艾肯(Jeremie Elkaim)', '華蕾莉董澤利(Valerie Donzelli)']",['劇情'],輔12級/PG12
4261,高海拔之戀Ⅱ,Romancing In Thin Air,上映日期：2012-04-20,片　　長：01時55分,發行公司：甲上,IMDb分數：6.1,['杜琪峯(Johnnie To)'],"['高圓圓', '古天樂(Louis Koo)', '鄭秀文(Sammi Cheng)']","['劇情', '愛情']",普遍級/G
4262,寶島雙雄,Double Trouble,上映日期：2012-06-15,片　　長：01時29分,發行公司：山水,沒有評分,['張訓瑋'],"['Jessica C(Jessica C)', '陳漢典', '房祖名', '錦榮', '夏雨', '張菲']","['動作', '喜劇']",保護級/P
4263,《內人‧外人》新移民系列電影,,上映日期：2012-05-11,片　　長：未提供,發行公司：雷公電影,沒有評分,"['陳慧翎(CHEN Hui-Ling)', '周旭薇 (Chou She-Wei)', '傅天余(FU Tien-Yu)']","['海倫清桃', '劉品言', '尹馨', '周幼婷']",['劇情'],未分類
4264,大獨裁者落難記,The Dictator,上映日期：2012-06-15,片　　長：01時24分,發行公司：派拉蒙,IMDb分數：6.4,[''],"['安娜法瑞絲 (Anna Faris)', '班金斯利(Ben Kingsley)', '梅根福克斯(Megan Fox)', '薩夏拜倫柯恩(Sacha Baron Cohen)']",['喜劇'],輔12級/PG12
4265,徬徨之刃,The Hovering Blade,上映日期：2012-04-20,片　　長：01時52分,發行公司：采昌國際多媒體,IMDb分數：6.1,['益子昌一'],"['竹野內豐(Utaka Takenouchi)', '寺尾聰', '伊東四朗']","['劇情', '犯罪']",普遍級/G
4266,黎明破曉的街道,Before Sunrise,上映日期：2012-04-20,片　　長：02時09分,發行公司：采昌國際多媒體,IMDb分數：5.7,['若松節朗'],"['深田恭子(Kyoko Fukada)', '木村多江(Tae Kimura)', '岸谷五朗']","['劇情', '犯罪']",保護級/P
4267,好孕提早來,Un heureux événement,上映日期：2012-05-04,片　　長：01時50分,發行公司：佳映,IMDb分數：6.6,['雷米貝桑松(Rémi Bezançon)'],"['露易絲布瓊(Louise Bourgoin)', '皮歐馬麥(Pio Marmai)']",[],限制級/R
4268,春嬌與志明,Love In The Buff,上映日期：2012-05-04,片　　長：01時52分,發行公司：甲上,IMDb分數：6.9,['彭浩翔'],"['楊千嬅', '余文樂(Shawn Yue)']","['劇情', '愛情']",保護級/P
4269,我的青春煉獄,KING OF DEVIL’S ISLAND,上映日期：2012-05-11,片　　長：02時00分,發行公司：聯影／聯贏,IMDb分數：7.5,['馬利斯霍士特(Marius Holst)'],"['班傑明赫斯達(Benjamin Helstad)', '克里斯多夫喬納(Kristoffer Joner)', '史戴倫史柯斯嘉(Stellan Skarsgard)', '創尼爾森(Trond Nilssen)']",['劇情'],保護級/P
4270,PINA,PINA,上映日期：2012-06-08,片　　長：未提供,發行公司：原子映象,IMDb分數：7.7,['文溫德斯(Wim Wenders)'],['碧娜鮑許(Pina Bausch)'],"['音樂/歌舞', '紀錄片']",未分類
